ocel_event_id;ocel_object_id;ocel_qualifier
14518_leave_Supplier Loading Area_cr6;loc_Supplier_Loading_Area;location
collect_hu9_complete;hu9;HU collected
14519_enter_Supplier_tr4;tr4;moved_object
14519_enter_Supplier_tr4;loc_Supplier;location
14520_leave_Supplier_tr4;tr4;moved_object
14520_leave_Supplier_tr4;loc_Supplier;location
pick_cr7_complete;cr7;CR picked
pick_cr7_complete;tr4;TR moved
14521_enter_Supplier Loading Area_tr4;tr4;moved_object
14521_enter_Supplier Loading Area_tr4;loc_Supplier_Loading_Area;location
14522_enter_Supplier Loading Area_cr7;cr7;moved_object
14522_enter_Supplier Loading Area_cr7;loc_Supplier_Loading_Area;location
load_truck_hu11_complete;hu11;HU loaded
load_truck_hu11_complete;cr7;CR laded
load_truck_hu11_complete;tr4;TR laded
arr_notice_cr6;tr2;TR arrival notice
arr_notice_cr6;cr6;CR arrival notice
14523_enter_Terminal South_tr2;tr2;moved_object
14523_enter_Terminal South_tr2;loc_Terminal_South;location
14524_enter_Terminal South_cr6;cr6;moved_object
14524_enter_Terminal South_cr6;loc_Terminal_South;location
drive_term_cr6_complete;cr6;CR moved
drive_term_cr6_complete;tr2;TR moved
unload_truck_cr6_assign;cr6;CR unload allocated
unload_truck_cr6_assign;tr2;TR unload allocated
unload_truck_cr6_assign;fl3;candidate_object
unload_truck_cr6_assign;fl2;candidate_object
unload_truck_cr6_assign;fl1;candidate_object
unload_truck_cr6_assign;fl3;assigned_object
unload_truck_cr6_assign;loc_Terminal_South;location
14525_leave_Forklift Depot_fl3;fl3;moved_object
14525_leave_Forklift Depot_fl3;loc_Forklift_Depot;location
14526_enter_Terminal South_fl3;fl3;moved_object
14526_enter_Terminal South_fl3;loc_Terminal_South;location
unload_truck_cr6_start;cr6;CR unloaded
unload_truck_cr6_start;tr2;TR unloaded
unload_truck_cr6_start;fl3;FL unloading
unload_truck_cr6_complete;cr6;CR unloaded
unload_truck_cr6_complete;tr2;TR unloaded
unload_truck_cr6_complete;fl3;FL unloading
weigh_cr6_start;cr6;CR weighted
weigh_cr6_start;fl3;FL weighing
14527_leave_Terminal South_tr2;tr2;moved_object
14527_leave_Terminal South_tr2;loc_Terminal_South;location
14528_enter_Truck Depot_tr2;tr2;moved_object
14528_enter_Truck Depot_tr2;loc_Truck_Depot;location
load_truck_hu12_complete;hu12;HU loaded
load_truck_hu12_complete;cr7;CR laded
load_truck_hu12_complete;tr4;TR laded
load_truck_hu14_complete;hu14;HU loaded
load_truck_hu14_complete;cr7;CR laded
load_truck_hu14_complete;tr4;TR laded
weigh_cr6_complete;cr6;CR weighted
weigh_cr6_complete;fl3;FL weighing
to_bay_cr6_start;cr6;CR brought to bay
to_bay_cr6_start;fl3;FL moved
load_truck_hu10_complete;hu10;HU loaded
load_truck_hu10_complete;cr7;CR laded
load_truck_hu10_complete;tr4;TR laded
14529_leave_Terminal South_fl3;fl3;moved_object
14529_leave_Terminal South_fl3;loc_Terminal_South;location
14530_leave_Terminal South_cr6;cr6;moved_object
14530_leave_Terminal South_cr6;loc_Terminal_South;location
14531_enter_Loading Bay_fl3;fl3;moved_object
14531_enter_Loading Bay_fl3;loc_Loading_Bay;location
14532_enter_Loading Bay_cr6;cr6;moved_object
14532_enter_Loading Bay_cr6;loc_Loading_Bay;location
to_bay_cr6_complete;cr6;CR brought to bay
to_bay_cr6_complete;fl3;FL moved
load_veh_cr6_vh6_start;cr6;CR loaded
load_veh_cr6_vh6_start;fl3;FL moved
load_veh_cr6_vh6_start;vh6;VH loaded
load_veh_cr6_vh6_complete;cr6;CR loaded
load_veh_cr6_vh6_complete;fl3;FL moved
load_veh_cr6_vh6_complete;vh6;VH laded
load_truck_hu13_complete;hu13;HU loaded
load_truck_hu13_complete;cr7;CR laded
